P001,Apple,Fruits,3,100
P002,Banana,Fruits,1,200
P003,Carrot,Vegetables,2,150
P004,Broccoli,Vegetables,2.5,80
P005,Chicken Breast,Meat,5,50
P006,Ground Beef,Meat,6,40
P007,Milk,Dairy,2,60
P008,Cheese,Dairy,4,30
P009,Eggs,Dairy,3,120
P010,Bread,Bakery,2,70
P011,Butter,Dairy,3.5,40
P012,Rice,Grains,1.5,150
P013,Pasta,Grains,1.8,100
P014,Cereal,Grains,4,50
P015,Tomato,Vegetables,2.2,90
P016,Potato,Vegetables,1.5,180
P017,Onion,Vegetables,1.8,140
P018,Orange Juice,Beverages,3.5,50
P019,Coffee,Beverages,5,40
P020,Tea,Beverages,4,60
